Designator,Footprint,Quantity,Value,LCSC Part #,
BT1,BAT-TH_MY-927-01,1,Battery_Cell,C964850,Extended
"C1, C18, C19, C21, C23, C7, C8",603,7,4u7,C19666,Basic
"C10, C9",402,2,10pF,C32949,Basic
"C11, C12, C13, C14, C15, C16, C17, C2, C22, C24, C25, C3, C4, C5, C6",402,15,100n,C1525,Basic 
"D1, D2, D3, D4, D6",603,5,STATUS,C2286,Basic
D5,D_MiniMELF,1,ZMM5V6-M,C8062,Basic
FB1,603,1,GZ1608D601TF,C1002,Basic
J4,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0,C2988369,Extended
J5,PinHeader_2x05_P1.27mm_Vertical,1,Conn_02x05_Odd_Even,C7501289,Extended
Q1,SOT-23,1,AO3401A,C15127,Basic
"Q2, Q3, Q4",SOT-23,3,MMBT3904,C20526,Basic
"R1, R12, R17, R19, R2, R21, R25, R3, R4, R5, R8, R9",402,12,5K1,C25905,Basic
"R10, R11, R16, R23, R24, R6, R7",402,7,1K5,C25867,Basic
"R13, R14, R18, R22, R26",603,5,680,C23228,Basic
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186,Basic
U10,SOT-23-6,1,SRV05-4,C7420376,Extended
U2,QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm,1,PCA9685BS,C5191634,Extended
U3,LQFP-64_10x10mm_P0.5mm,1,STM32F411RETx,C94355,Extended
U5,LGA-16_L4.5-W3.0-P0.50-BL,1,BMI088,C194919,Extended
U7,BoschSensortec-BMP-388_PQFN50P200X200X80-10N,1,BMP388,C779278,Extended
U9,TSSOP-8_4.4x3mm_P0.65mm,1,TPS2113APW,C130052,Extended
Y1,Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm,1,X322516MLB4SI,C13738,Basic